Request Path,Date Time,Sum of Traffic
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:29:00+0000,0
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:30:00+0000,0
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:31:00+0000,0
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:32:00+0000,0
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:40:00+0000,0
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:41:00+0000,0
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:42:00+0000,0
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:52:00+0000,0
/API_Homework5/movies/81cbc4d3-1d7a-11e7-990c-0eec2415f3df,2017-04-19 05:53:00+0000,0
/API_Homework5/movie/81cbc4d3-1d7a-11e7-990c-0eec2415f3d,2017-04-19 04:57:00+0000,0
/API_Homework5/movie/81cbc4d3-1d7a-11e7-990c-0eec2415f3d,2017-04-19 04:59:00+0000,0
/API_Homework5/movie/81cbc4d3-1d7a-11e7-990c-0eec2415f3d,2017-04-19 05:00:00+0000,0
/API_Homework5/movie/81cbc4d3-1d7a-11e7-990c-0eec2415f3d,2017-04-19 05:01:00+0000,0
/API_Homework5/movie/81cbc4d3-1d7a-11e7-990c-0eec2415f3d,2017-04-19 05:02:00+0000,0
/API_Homework5/movie/81cbc4d3-1d7a-11e7-990c-0eec2415f3d,2017-04-19 05:03:00+0000,0
/API_Homework5/movie/81cbc4d3-1d7a-11e7-990c-0eec2415f3d,2017-04-19 05:04:00+0000,0
/API_Homework5/movie/81cbc4d3-1d7a-11e7-990c-0eec2415f3d,2017-04-19 05:05:00+0000,0
